Occupation,standard,idfobject,Name,objectfield,Value,Comment
SFH-masonry,ZEB,Construction,window_w_blinds,Outside_Layer,Glass-ZEB,
SFH-small-concrete,non-standard,Construction,window_w_blinds,Outside_Layer,Glass-non-standard,
SFH-small-concrete,efficient,Construction,window_w_blinds,Outside_Layer,Glass-efficient,
SFH-small-concrete,ZEB,Construction,window_w_blinds,Outside_Layer,Glass-ZEB,
SFH-small-concrete,standard,Construction,window_w_blinds,Outside_Layer,Glass-standard,
SFH-small-masonry,non-standard,Construction,window_w_blinds,Outside_Layer,Glass-non-standard,
SFH-small-masonry,efficient,Construction,window_w_blinds,Outside_Layer,Glass-efficient,
SFH-small-masonry,ZEB,Construction,window_w_blinds,Outside_Layer,Glass-ZEB,
SFH-small-masonry,standard,Construction,window_w_blinds,Outside_Layer,Glass-standard,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.0002,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.0006,
RetailStandalone,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00014,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.0018,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.65,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.66,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_2,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.0002,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_2,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.0006,
RetailStandalone,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_2,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00014,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_2,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.0018,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_2,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_2,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_2,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.65,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_2,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.66,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_3,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00001,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_3,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00006,
RetailStandalone,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_3,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00014,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_3,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.001,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_3,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_3,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
